label,status,variants,gnd_candidates,wikidata_candidates,resolved_gnd_id,resolved_wikidata_id,resolved_label,notes
Judas,ambiguous,Judas,"117219894|Judas, August|0.714 || 117219924|Judas, Auguste Célestin|0.714 || 118886673|Judas, Makkabäus|0.625 || 1019457643|Judas, Harald|0.588 || 118713337|Judas, Thaddäus|0.556","Q922088|Judas|1.000|male given name || Q37247828|Judas|1.000|family name || Q2464332|Jude|1.000|one of the brothers/cousins of Jesus according to the New Testament || Q131466|Epistle of Jude|1.000|epistle in the New Testament attributed to to Jude, brother of James || Q188766|Judas|1.000|2011 single by Lady Gaga",,,,
Kefas (s. auch Petrus),ambiguous,Kefas,"118593323|Petrus, Apostel, Heiliger|0.516 || 1320992447|Baiyi, Kefas Luka|0.400 || 1320687830|Baiyi, Kefas Luka|0.400 || 1344886310|Lamak, Kefas|0.333","Q131680663|Kefas Japhet|0.645|Nigerian politician || Q26472797|Kefasi Chitsala|0.588|Malawian long-distance runner || Q6383404|Kefashen|0.518|place in Syunik, Armenia || Q5063496|Cephas of Iconium|0.471|orthodox saint || Q136431352|Kefas Brand|0.467|Ugandan actor and model",,,,
Kyrill,ambiguous,Kyrill,"1089249527|Schaefer, Kyrill|0.571 || 173534457|Schwegler, Kyrill I. M.|0.545 || 114103372|Schwarz, Kyrill-Alexander|0.545 || 13769685X|Maljantovič, Kyrill G.|0.522 || 127904212|Philippoff, Kyrill|0.522",Q674360|Kirill|1.000|male given name (Кирилл) || Q4221339|Kirill|1.000|male given name || Q4221324|Kyrill|1.000|Eastern Orthodox archbishop || Q44187|Kirill I of Moscow|0.857|21st-century primate of the Russian Orthodox Church || Q51954439|Kyrillos|0.857|male given name (Κύριλλος),,,,
Kyros,ambiguous,Kyros,"1356303307|Kyros, Peter N.|0.625 || 1071831364|Kyru, Kyros A.|0.588 || 1362653268|Khadjavi, Kyros|0.526 || 1157330592|Massarrat-Mechedi, Kyros|0.500 || 124751415|Kyros I., Iran, König|0.500",Q19816333|Kyros|1.000|male given name || Q110742039|Kyros|1.000|family name || Q602803|Kyros|1.000|Wikimedia disambiguation page || Q25410181|Kyros|1.000|1986 video game || Q1286832|Kyros of Constantinople|1.000|Ecumenical Patriarch of Constantinople from 705 to 712,,,,
Laban,ambiguous,Laban,"1017911754|Laban, ʿAlī|0.769 || 116635134|Laban, Ferdinand|0.667 || 138995524|Laban, Simon|0.625 || 1051785707|Laban, Juana de|0.625 || 1266493808|Ochuka, Laban|0.588","Q13094561|Laban|1.000|village in Gresik Regency, East Java, Indonesia || Q840401|Laban|1.000|son of Bethuel, brother of Rebekah described in the Book of Genesis || Q12493302|Laban|1.000|village in Purworejo Regency, Central Java, Indonesia || Q12493301|Laban|1.000|village in Kendal Regency, Central Java, Indonesia || Q12493300|Laban|1.000|village in Sukoharjo Regency, Central Java, Indonesia",,,,
Livania (Witwe),ambiguous,Livania,,"Q60284236|Livania|0.700|Byzantine actor || Q21773506|Livaniana, Chania|0.621|human settlement in Greece || Q137954318|Livania M Lerin Kiste C M e I|0.524|school in Sarandi",,,,
Makarios von Laodikea,no_match,Makarios von Laodikea;Makarios from Laodikea;Makarios of Laodikea,,,,,,
Matthäus,ambiguous,Matthäus,"129102261|Weyse, Matthäus|0.783 || 121939510|Aquilius, Matthaeus|0.750 || 129002488|Pocarus, Matthäus|0.750 || 125000006|Hörnigk, Matthäus|0.720 || 1266468196|Dörffel, Matthäus|0.692",Q17483971|Matthäus|1.000|male given name || Q18092125|Matthäus|1.000|family name || Q43600|Matthew the Apostle|1.000|Christian evangelist and apostle || Q392302|Gospel of Matthew|1.000|book of the New Testament || Q21148298|Matthaus|0.941|given name,,,,
Melchisedek,ambiguous,Melchisedek,"118580515|Melchisedek|1.000 || 1159035806|Melchisedec Bischof v. Huşi|1.000 || 119748967|Lutz, Melchisedek|0.815 || 119553244|Melchisedek, Starez|0.759 || 1162142855|Chétima, Melchisedek|0.733",Q219395|Melchizedek|1.000|biblical person; King of Salem and priest of the Most High (Gen. 14) || Q4289712|Melchisedek|1.000| || Q12866762|Melchisedek|1.000| || Q58677357|Melchisedech|1.000|sculpture by Jacques Bergé || Q4289713|Melkhisedek|0.909|,,,,
Mose,ambiguous,Mose,"124456073|Mose, Ingo|0.800 || 1037506200|Mose, Hans|0.615 || 1044250801|Mose, Martin|0.533 || 1116968150|Mose, Deacon|0.533 || 115388591|Moese, Willy|0.533",Q90733312|Mose|1.000|male given name || Q37450047|Mose|1.000|family name || Q9077|Moses|1.000|Abrahamic prophet said to have led the Israelites out of Egypt || Q1681353|bog|1.000|wetland that accumulates peat due to incomplete decomposition of plant leftovers || Q13554012|Moses|0.889|male given name,,,,
Nathanael,ambiguous,Nathanael,"120630230|Carolus, Nathanael|0.783 || 141322225|Butner, Nathanael|0.720 || 1053491786|Pezold, Nathanael|0.720 || 119859270|Vilter, Nathanael|0.720 || 1122857500|Pownall, Nathanael|0.720",Q19968240|Nathanael|1.000|male given name || Q43982|Bartholomew the Apostle|1.000|Christian apostle and martyr || Q1359769|Nathanael|1.000|Follower of Jesus || Q122421573|Nathanael|1.000|family name || Q106886038|Nathanaël|0.889|male given name,,,,
Nikodemus,ambiguous,Nikodemus,"131432737|Nikodemus, Paul|0.900 || 129170763|Herger, Nikodemus|0.720 || 115621288X|Geßele, Nikodemus|0.692 || 116158662|Kerameus, Nikodemus|0.692 || 123259991|Richter, Nikodemus|0.692","Q1509245|Nikodemus|1.000|male given name || Q83374185|Nikodemus|1.000|family name || Q295084|Nicodemus|1.000|Pharisee, biblical figure appearing in the Gospel of John || Q112317657|Hauptplatz 10, Purkersdorf|1.000| || Q43016015|Nicodemus|1.000|Italian sculptor (1150-1166)",,,,
Noah,ambiguous,Noah,"134822064|Noah, Yannick|1.000 || 1052802583|Klotzsche, Noah|1.000 || 1235094448|Khun Noah|0.615 || 119720876|Janus, Noah|0.615 || 1374015032|Beery, Noah|0.571","Q19819780|Noah|1.000|male given name || Q81422|Noah|1.000|biblical prophet, son of Lamech, major figure in the Book of Genesis || Q1379338|Noah|1.000|Indonesian pop rock band || Q26972634|Noah|1.000|family name || Q286868|Noah|1.000|2014 film directed by Darren Aronofsky",,,,
Optimus,ambiguous,Optimus,"108961103X|Optimus, Philosophus|0.583 || 102388644|Optimus, Episcopus|0.583 || 119491982|Heliopolitanus|0.476 || 1172123977|Casius, Gott|0.476 || 118983466|Dolichenus|0.471",Q108167797|Optimus|1.000|two-legged robot || Q957576|Nvidia Optimus|1.000|technology by Nvidia || Q3884254|Optimus|1.000|album by John Norum || Q836272|zhuangyuan|1.000|title given to the scholar who achieved the highest score on highest level of the Imperial examination in ancient China and Vietnam || Q2003299|Optimus Maximus keyboard|1.000|computer keyboard model from 2007,,,,
Orontius (Italienischer Bischof),ambiguous,Orontius,"1336740981|Orontius, Lecce, Bischof, Heiliger|0.689 || 1024554953|Orontius, Illiberitanus|0.583 || 120463709|Finé, Oronce|0.565 || 12110009X|Göttlinger, Orontius|0.320","Q983291|Oronce Finé|0.565|French mathematician and cartographer (*1494 – †1555) || Q112429027|Claude-Oronce Fine de Brianville|0.542| || Q752046|Orontius of Lecce|0.542|Bishop of Lecce || Q64762747|Orontius Alfarano-Capece|0.518|Roman Catholic bishop || Q123586543|Sant'Oronzo|0.468|religious building in Turi, Italy",,,,
Paulinus von Antiochia,ambiguous,Paulinus from Antiochia;Paulinus von Antiochia;Paulinus of Antiochia,"118875760|Paulinus, von Lucca|0.830",Q436391|Paulinus of Antioch|1.000|first Bishop of Lucca || Q106580978|Paulinus of Antioch|1.000|Wikimedia disambiguation page,,,,
Paulus (Apostel),ambiguous,Paulus,"103126384|Paulus, Meister|0.800 || 122720210|Paulus, Käte|0.769 || 117760269|Paulus, Eduard|0.727 || 1027004547|Paulus|0.649 || 100184049|Leopardus, Paulus|0.533","Q9200|Paul the Apostle|0.733|Early Christian apostle and missionary (c. AD 5 – c. 64/65) || Q2030691|Paul Joostens|0.667|Belgian cubist, dadaist and avantgarde painter (1889-1960) || Q4391614|Paulus|0.600|male given name || Q15732712|Paulus|0.600|family name || Q108481974|Paulus|0.600|Roman Catholic patriarch",,,,
Petrus (s. auch Kefas),ambiguous,Petrus,1292697377|Petrus|0.588 || 1291613951|Petrus|0.529 || 129553309X|Petrus|0.516 || 1294220233|Petrus|0.514 || 136282768|Petrus|0.513,Q153043|Feast of Saints Peter and Paul|0.611|anniversary || Q15897708|Petrus|0.480|male given name || Q33923|Saint Peter|0.480|apostle of Jesus Christ || Q20727004|Petrus|0.480|family name || Q17189650|Petrus|0.480|genus of fishes,,,,
Philippus (Apostel),ambiguous,Philippus,"129238235X|Philippus|0.743 || 102402744|Philippus, Macedo|0.727 || 1252692420|Philippus|0.692 || 1248730577|Philippus|0.692 || 136283160|Philippus|0.692",Q1379395|Philip Galle|0.750|Dutch engraver and publisher (1537–1612) || Q43675|Philip the Apostle|0.743|Christian saint and apostle || Q19970429|Philippus|0.692|male given name || Q37563156|Philippus|0.692|family name || Q64851757|Philippus|0.692|ancient Roman cognomen,,,,
Philippus (Presbyter),ambiguous,Philippus,"136283160|Philippus|0.698 || 102402752|Philippus, Megarensis|0.667 || 102402744|Philippus, Macedo|0.667 || 1252692420|Philippus|0.643 || 1248730577|Philippus|0.643",Q1379395|Philip Galle|0.647|Dutch engraver and publisher (1537–1612) || Q19970429|Philippus|0.643|male given name || Q37563156|Philippus|0.643|family name || Q64851757|Philippus|0.643|ancient Roman cognomen || Q43675|Philip the Apostle|0.643|Christian saint and apostle,,,,
Photios (Presbyter),ambiguous,Photios,"118594095|Photios I., Konstantinopel, Patriarch, Heiliger|0.667 || 1219164976|Katzoúros, Phṓtios P.|0.500 || 15855163X|Malleros, Photios K.|0.457 || 1031884572|Kladakis, Photios M.|0.457 || 116524804|Cladakis, Photios M...|0.457","Q243187|Photios I of Constantinople|0.615|9th Century Ecumenical Patriarch of Constantinople || Q22955876|Fotis Petsas|0.606|Greek archaeologist || Q718025|Patriarch Fotios II of Constantinople|0.593|265th Ecumenical Patriarch of Constantinople || Q3749177|Photius|0.583|stepson of Belisarius, honorary consul and abbot || Q3813712|Photian schism|0.562|9th-century schism between Rome and Constantinople",,,,
Poseidonios (Diakon Kyrills),ambiguous,Poseidonios,"102404216|Posidonius, Corinthius|0.735 || 118595946|Posidonius, Rhodius|0.711 || 102404224|Posidonius, Olbiopolitanus|0.692 || 118503626|Apion, Oasites|0.423",Q1239772|Posidonius|0.653|ancient sculptor and engraver || Q185770|Posidonius|0.595|Greek Stoic philosopher (c.135 – c.51 BC) || Q1480389|13129 Poseidonios|0.595|asteroid || Q7233014|Poseidonius|0.595|engineer of Alexander the Great || Q1239775|Poseidonius|0.595|Stoic philosopher,,,,
Praylios von Jerusalem,no_match,Praylios of Jerusalem;Praylios from Jerusalem;Praylios von Jerusalem,,,,,,
Proklos von Kyzikos,ambiguous,Proklos from Kyzikos;Proklos von Kyzikos;Proklos of Kyzikos,"119129701|Proclus, Constantinopolitanus|1.000 || 118641778|Proclus, Diadochus|1.000",,,,,
Rufus von Thessaloniki,no_match,Rufus of Thessaloniki;Rufus von Thessaloniki;Rufus from Thessaloniki,,,,,,
Salomon,ambiguous,Salomon,"139745025|Salomon|1.000 || 12994307X|Salomon, Hermann|1.000 || 115629165|Salomon, Salomon Jakob|0.778 || 121885895|Lentz, Salomon|0.737 || 121683761|Brandes, Salomon|0.700",Q18421743|Salomon|1.000|male given name || Q16029694|Salomon|1.000|family name || Q2120822|Salomon|1.000|French company featuring outdoor apparel and sportswear || Q6403624|Carl E. Salomon|1.000|botanist (1829-1899) || Q593409|Salomon|1.000|name,,,,
Samuel,ambiguous,Samuel,"1077203187|Samuel|1.000 || 1031589406|Samuel|1.000 || 1055542043|Smith, Samuel|0.706 || 123160219|Francke, Samuel|0.667 || 13303187X|Rühling, Samuel|0.632",Q629347|Samuel|1.000|male given name || Q656179|Samuel|1.000|family name || Q1484446|Samuel|1.000|civil parish in Soure || Q6577515|Samuel|1.000|Biblical prophet and main figure of the First Book of Samuel || Q14650949|Sámuel|0.833|male given name,,,,
Saul,ambiguous,Saul,"130220817|Saul, Thilo|0.800 || 1208322443|Saul, Ludwig|0.800 || 132311534|Saul, Peeter|0.800 || 119475227|Saul, John|0.615 || 1209062925|Saul, Wendy|0.571","Q9302723|Saul|1.000|male given name || Q23779110|Saul|1.000|family name || Q28730|Saul|1.000|first king of the United Kingdom of Israel || Q109241975|Saul|1.000|lyric tragedy in 2 acts composed by Nicola Vaccaj. First representation in 1829 at Teatro di San Carlo, Naples || Q109241713|Saul|1.000|lyric tragedy in 4 acts composed by Antonio Buzzi. First representation in 1843 at Teatro Comunale, Ferrara",,,,
Sisinnius von Konstantinopel,no_match,Sisinnius of Konstantinopel;Sisinnius von Konstantinopel;Sisinnius from Konstantinopel,,,,,,
Sophronas (Ankläger Kyrills),no_match,Sophronas,,,,,,
Sosthenes,ambiguous,Sosthenes,"1314923803|La Rochefoucauld, Marie Charles Gabriel de|0.857 || 1349393568|Behn, Sosthenes|0.783 || 102406413|Sosthenes, Historicus|0.692 || 139573976|Kolb, Joseph Sosthenes von|0.545 || 1012311228|Kalanje, Ephraim S.|0.529",Q18583962|Sosthenes|1.000|genus of insects || Q1091308|Sosthenes|1.000|chief ruler of the synagogue at Corinth || Q24055296|Sosthenes|1.000|winged prophet who aids the Argonauts in the Bosphorus || Q102318534|Sosthenes Eze|0.818|anglican bishop in Nigeria || Q2378638|Sosthenes Behn|0.783|American businessman; founder of International Telephone & Telegraph (1882–1957),,,,
Stephanus,ambiguous,Stephanus,"1052834434|Stephanus|1.000 || 1294324667|Stephanus|1.000 || 1312233125|Stephanus Bretis|1.000 || 1157863485|Stephanus, Sanctus|0.900 || 104361352|Stephanus, Provincialis|0.750","Q17496752|Stephanus|1.000|male given name || Q161775|Saint Stephen|1.000|Deacon, martyr, and saint || Q18592473|Stephanus|1.000|genus of insects || Q4927100|Stephen|1.000|male given name || Q68911540|Stephanus|1.000|Roman Catholic bishop",,,,
Symeon Stylites,ambiguous,Symeon Stylites,"1159117985|Symeon Stylites|1.000 || 118620282|Simeon, Stylita, Senior, Heiliger|1.000 || 119469065|Symeon, der Stylit der Jüngere, Heiliger|1.000 || 1177100177|Marta, Heilige|0.462","Q3961042|Simeon Stylites|1.000|Wikimedia disambiguation page || Q2374508|Symeon|1.000|Wikimedia disambiguation page || Q310987|Simeon Stylites|0.933|Christian ascetic saint || Q17401675|Saint Symeon Stylites of Lesbos|0.732|Byzantine monk, ascetic, opponent of iconoclasm, saint || Q2742399|Simeon Stylites the Younger|0.698|Christian Saint",,,,
Teman,ambiguous,Teman,"1078439184|Teman, Catherine|0.500","Q805|Yemen|1.000|country in West Asia || Q37530384|Teman|1.000|family name || Q1546303|Teman|1.000|Edomite clan and an ancient biblical town of Arabia Petraea || Q12910917|Teman|1.000|village in Berat County, Albania || Q12711291|Teman|1.000|TV series in Malaysia",,,,
Thalassius (Vorleser/Mönch),ambiguous,Thalassius,"100961843|Thalassius, Caesariensis|0.744 || 102407215|Thalassius, Constantinopolitanus|0.711 || 102389357|Thalassius, Presbyter et Archimandrita|0.696 || 119847108|Thalassius, Conradus|0.622 || 1055716688|Thalassius, Petrus|0.605","Q2856154|Thalassius of Libya|0.578|bishop of Caesarea (7th century) || Q15728392|Thalassius|0.556|genus of arachnids || Q2408718|Thalassius|0.556|Roman politician, praefectus praetorio Orientis || Q25443438|Thalassius|0.556|Roman official (proximus libellorum) || Q3980353|Thalassius|0.556|Roman politician, bishop of Caesarea, 5th century",,,,
Theodosius (II.),ambiguous,Theodosius,"100962475|Theodosius, Archidiaconus|0.870 || 1157816495|Theodosius, Philippus|0.870 || 102407711|Theodosius, Grammaticus|0.750 || 103115455|Theodosius, Bithynus|0.750 || 122875699|Rihel, Theodosius|0.690","Q160353|Theodosius II|1.000|Byzantine Emperor (401–450) || Q46696|Theodosius I|0.960|Roman emperor from 379 to 395 || Q1174712|Theodosius|0.870|male given name || Q16869|Constantinople|0.870|capital of the Eastern Roman, Latin and Ottoman Empires, currently Istanbul, Turkey || Q354997|Theodosius|0.870|Byzantine emperor; son of Byzantine Emperor Maurice",,,,
Theodotos von Antiochia,no_match,Theodotos von Antiochia;Theodotos from Antiochia;Theodotos of Antiochia,,,,,,
Thomas,ambiguous,Thomas,"134897943|Thomas|1.000 || 107643987|Thomas, Reinhard|1.000 || 1080776567|Thomas, Thomas L.|0.857 || 1117729877|Thomas, Thomas Henry|0.800 || 1036988651|Thomas, Thomas|0.632",Q16428906|Thomas|1.000|male given name || Q1413324|Thomas|1.000|family name || Q43669|Thomas the Apostle|1.000|Apostle of Jesus Christ || Q55810485|Thomas|1.000|fictional character in the film series Underworld || Q3297193|Thomas Östros|0.600|Swedish economist and politician (born 1965),,,,
Timotheus,ambiguous,Timotheus,"119843242|Sturm, Timotheus|0.750 || 131999060|Compenius, Timotheus|0.720 || 115786094X|Stieler, Timotheus|0.720 || 120067250|Culand, Timotheus|0.720 || 1261937740|Culandus, Timotheus|0.720","Q19968404|Timotheus|1.000|male given name || Q107112079|Timotheus|1.000|priest and saint || Q119167457|Timotheus|1.000|genus of insects || Q131489|Second Epistle to Timothy|1.000|book of the New Testament attributed to Paul || Q212647|Timothy|1.000|1st century Christian evangelist, philosopher and bishop",,,,
Titus,ambiguous,Titus,"135424798|Titus|1.000 || 120203359|Titus, Antoine|1.000 || 121297691|Thomae, Titus|0.667 || 1185113789|Didius, Titus|0.615 || 172899303|Boeder, Titus|0.588",Q12902246|Titus|1.000|male given name || Q37508063|Titus|1.000|family name || Q21473990|Titus|1.000|ancient Roman praenomen || Q2164808|Titus|1.000|American television sitcom || Q1421|Titus|1.000|tenth Roman Emperor (79–81),,,,
Valentinianus,ambiguous,Valentinianus,"102409013|Valentinianus, Gnosticus|0.788 || 118803743|Valentinian I., Römisches Reich, Kaiser|0.765 || 121533638|Fischer, Valentinian|0.765 || 118931962|Valentinian III., Römisches Reich, Kaiser|0.765 || 119145111|Valentinian II., Römisches Reich, Kaiser|0.765",Q114397702|Valentinianus|1.000|ancient Roman cognomen || Q120200381|Valentinianus|1.000|article in the Dictionary of Christian Biography and Literature to the End of the Sixth Century || Q45268045|Valentinianus|1.000|dictionary entry || Q46720|Valentinian I|0.929|Roman emperor from 364 to 375 || Q46846|Valentinian II|0.897|Roman emperor from 375 to 392,,,,
Valerius (cubicularius),ambiguous,Valerius,"12258693X|Valerius, Petrus|0.667 || 1157999646|Valerius, Bergidensis|0.634 || 1235729230|Valerius|0.629 || 1063012082|Baudrexel, Valerius|0.545 || 129833150|Jasch, Valerius|0.457",Q32979453|Valerius|0.552|ancient Roman nomen || Q18632293|Valerius|0.552|male given name || Q54575867|Valerius|0.552|Gallo-Roman saint martyred in 287 AD || Q2329031|Valerius|0.552|Byzantine consul 432 AD || Q6221480|Valerius|0.552|Archbishop of Uppsala,,,,
Viktor (Ankläger Kyrills),ambiguous,Viktor,"1120027195|Lorenc, Viktor|0.512 || 131736582|Gončar, Viktor|0.410 || 1230887164|Kalašnikov, Viktor|0.408 || 12287935X|Horsting, Viktor|0.400 || 138626618|Omelianenko, Viktor|0.364","Q219578|Victoria Cross|0.526|highest military decoration awarded by the UK and the Commonwealth || Q109067|Viktor Dyk|0.471|Czech poet, prose writer, playwright, politician and political writer (1877-1931) || Q36687|Victoria|0.424|state of Australia || Q98545444|Viktoria Athina Giakoumopoulou|0.407|Greek particle physicist || Q16430022|Viktor|0.400|male given name",,,,
Vitalius von Antiochia,no_match,Vitalius von Antiochia;Vitalius of Antiochia;Vitalius from Antiochia,,,,,,
